Sample	Raw_Reads	Raw_Bases	Trimmed_Bases	Mapped_Reads_BWA	Percentage_Mapped_Reads_BWA	Mapped_Reads_Post_BWA_BBMAP	Mapped_Percentage_Post_BWA_BBMAP	Mosdepth_Avg_Depth	Prop_g_cov_1	Prop_g_cov_2	Prop_g_cov_3	Prop_g_cov_4
ERR9709202	101897052	15386454852	0	83110078	81.56	63919159	62.73	12.07	93.19	90.23	87.92	85.82
ERR9709203	58650626	8856244526	0	44973508	76.68	41898512	71.44	7.80	92.18	87.39	83.09	78.31
ERR9709204	94389980	14252886980	0	74177762	78.59	52891873	56.04	9.78	91.90	88.42	85.41	81.97
ERR9709206	78238606	11814029506	0	64196421	82.05	49907302	63.79	9.32	92.59	88.78	85.53	82.12
ERR9709208	87193682	13166245982	0	68803631	78.91	51908042	59.53	9.65	92.18	88.75	85.85	82.73
ERR9709209	142926556	21581909956	0	117132505	81.95	88923395	62.22	16.73	94.33	91.76	89.81	88.22
ERR9709210	118524176	17897150576	0	96302350	81.25	69424379	58.57	12.90	93.17	90.30	88.15	86.23
ERR9709212	103852494	15681726594	0	85737128	82.56	66103386	63.65	12.48	93.37	90.46	88.22	86.20
ERR9709213	135700208	20490731408	0	108104510	79.66	72921540	53.74	13.35	93.29	90.31	88.15	86.31
ERR9709214	104645388	15801453588	0	85115666	81.34	62251589	59.49	11.53	93.36	90.15	87.69	85.41
ERR9709215	98965386	14943773286	0	79671610	80.50	59120063	59.74	10.89	92.66	89.31	86.66	84.02
ERR9709216	112944988	17054693188	0	94688424	83.84	80114752	70.93	15.26	93.83	91.20	89.11	87.27
ERR9709217	114902506	17350278406	0	95987806	83.54	77869205	67.77	14.80	94.23	91.50	89.39	87.59
ERR9709218	100003852	15100581652	0	83723112	83.72	69220281	69.22	13.13	93.69	90.77	88.50	86.49
ERR9709220	76227534	11510357634	0	64259297	84.30	53899731	70.71	10.29	92.79	89.51	86.71	83.91
ERR9709221	141145240	21312931240	0	117020908	82.91	97220941	68.88	18.59	94.57	92.31	90.50	88.94
ERR9709222	117384448	17725051648	0	91978911	78.36	67037514	57.11	12.35	93.74	90.71	88.36	86.24
ERR9709223	121201312	18301398112	0	86960842	71.75	61202632	50.50	10.81	92.15	88.73	85.89	82.75
ERR9709224	100370374	15155926474	0	81654810	81.35	65107329	64.87	12.31	93.29	90.36	88.07	85.97
ERR9709226	102314914	15449552014	0	85872751	83.93	71435100	69.82	13.66	93.62	90.88	88.72	86.80
ERR9709227	106375466	16062695366	0	88135160	82.85	71175525	66.91	13.51	93.57	90.81	88.65	86.77
ERR9709228	95388348	14403640548	0	80254795	84.13	67460877	70.72	12.80	93.84	90.96	88.66	86.58
ERR9709229	91631702	13836387002	0	74979946	81.83	61840560	67.49	11.61	94.19	90.91	88.27	85.89
ERR9709230	147184690	22224888190	0	121340397	82.44	97506955	66.25	18.44	94.88	92.40	90.51	88.95
ERR9709231	120276270	18161716770	0	100954354	83.94	85585544	71.16	16.45	94.45	91.91	89.94	88.27
ERR9709234	105877704	15987533304	0	88494606	83.58	74346351	70.22	14.18	94.44	91.62	89.41	87.53
ERR9709235	106429122	16070797422	0	89676843	84.26	74776070	70.26	14.30	93.97	91.38	89.33	87.53
ERR9709236	86071244	12996757844	0	71275364	82.81	59023011	68.57	11.27	93.26	90.18	87.69	85.32
ERR9709238	107269280	16197661280	0	89533983	83.47	75144964	70.05	14.21	94.31	91.46	89.26	87.37
ERR9709211	108455454	16376773554	0	83196790	76.71			21.39	93.05	90.95	88.69	87.39
ERR9709225	140166492	21165140292	0	112592320	80.33			68.38	95.25	94.05	92.87	91.97
ERR9709240	115068048	17375275248	0	95114726	82.66	75228200	65.38	14.24	93.39	90.66	88.57	86.77
ERR9709241	97602792	14738021592	0	81118632	83.11	69170133	70.87	13.24	94.06	91.17	88.90	86.90
ERR9709242	119951934	18112742034	0	101419626	84.55	84400047	70.36	16.12	94.03	91.51	89.52	87.79
ERR9709243	117260454	17706328554	0	98372704	83.89	82335207	70.22	15.71	94.17	91.66	89.66	87.94
ERR9709244	122581166	18509756066	0	101079901	82.46	76114747	62.09	14.16	93.61	90.82	88.72	86.94
ERR9709245	101390366	15309945266	0	82768688	81.63	62992694	62.13	11.67	92.92	89.93	87.59	85.43
SRR26416948	9232006	    1384800900	0	7319743	    79.29	6188514	    67.03	1.03	52.64	26.33	11.64	4.81
